title,gross,valence,arousal,dominance
The Diary of a Teenage Girl ,1477002,0.721500009,0.532499999,0.498000003
Howards End ,25967000,0.281333332,0.404666672,0.430000007
When Harry Met Sally... ,92823600,0.561999977,0.399499997,0.420499995
The Muppet Christmas Carol ,27281507,0.826333324,0.450666656,0.555999994
The Day the Earth Stood Still ,79363785,0.705749989,0.234249994,0.465000004
The Hobbit: An Unexpected Journey ,303001229,0.560750008,0.667500012,0.473000005
Spotlight ,44988180,0.688000023,0.352999985,0.518999994
Bad Company ,30157016,0.299500003,0.595500007,0.479999997
Eternal Sunshine of the Spotless Mind ,34126138,0.761999987,0.427499995,0.746624999
Old School ,74608545,0.585666666,0.388000011,0.529333333
Mirror Mirror ,64933670,0.676999986,0.310000002,0.437999994
Sling Blade ,24475416,0.397499993,0.512500003,0.498999998
Our Brand Is Crisis ,6998324,0.38499999,0.547499999,0.488999993
Saw II ,87025093,0.316000015,0.541000009,0.518000007
The Time Traveler's Wife ,63411478,0.754249997,0.488124996,0.577000014
Quartet ,18381787,0.479000002,0.377000004,0.472000003
Wristcutters: A Love Story ,104077,0.898999999,0.506166662,0.657833328
The Age of Adaline ,42478175,0.303333332,0.282,0.339333336
Green Room ,3219029,0.705499992,0.313749999,0.449500002
Just Like Heaven ,48291624,0.792714289,0.404714278,0.577857149
The River Wild ,46815748,0.500000015,0.65699999,0.67750001
The Last Days on Mars ,23838,0.581499994,0.47725001,0.478000004
Grandma's Boy ,6088249,0.721000016,0.299999997,0.467999995
The Net ,50728000,0.404500008,0.398499995,0.500999987
No Reservations ,43097652,0.629999995,0.327750005,0.56324999
Little Nicky ,39442871,0.38499999,0.159999996,0.213
Money Train ,35324232,0.748750001,0.656749994,0.719999999
Star Trek III: The Search for Spock ,76400000,0.653399998,0.5412,0.501400006
Fifty Shades of Grey ,166147885,0.443199998,0.2794,0.341999996
Obvious Child ,3122616,0.7685,0.398000002,0.498999983
The Watcher ,28927720,0.561999977,0.400999993,0.702000022
Sweet November ,25178165,0.828000009,0.438000003,0.410333335
Disclosure ,83000000,0.5,0.61500001,0.709999979
Unfaithful ,52752475,0.030999999,0.805999994,0.298000008
A Room for Romeo Brass ,18434,0.672999993,0.317249998,0.488750003
Die Hard with a Vengeance ,100012500,0.15233333,0.715666652,0.514666662
Domestic Disturbance ,45207112,0.364285705,0.62942857,0.40828572
The Imaginarium of Doctor Parnassus ,7689458,0.738000005,0.50500001,0.851000011
Chicken Little ,135381507,0.489499986,0.232999995,0.303499997
The Devil Wears Prada ,124732962,0.366500009,0.587249994,0.421250001
Prom ,10106233,0.52700001,0.439999998,0.404000014
Tucker and Dale vs Evil ,223615,0.378999991,0.551666687,0.446333339
2001: A Space Odyssey ,56715371,0.680999994,0.477999995,0.596666674
White House Down ,73103784,0.695000008,0.211749997,0.515749998
Robin Hood: Prince of Thieves ,165500000,0.5778,0.514200002,0.554200006
Pineapple Express ,87341380,0.745499998,0.578249998,0.585500002
